ticker,company,year,quarter,sentiment_score,positive_count,negative_count,sentiment,filing_path
GOOGL,Alphabet Inc.,2022,1,0.9058823529411765,324,16,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-22-000015/full-submission.txt
AMZN,Amazon.com Inc.,2023,3,1.0,263,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-23-000014/full-submission.txt
AMZN,Amazon.com Inc.,2022,2,0.7307692307692307,315,49,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-22-000011/full-submission.txt
AMZN,Amazon.com Inc.,2021,2,0.9288025889967637,298,11,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-21-050346/full-submission.txt
AMZN,Amazon.com Inc.,2022,3,0.7079889807162535,310,53,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-22-000017/full-submission.txt
AMZN,Amazon.com Inc.,2022,4,0.7158469945355191,314,52,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-22-000021/full-submission.txt
AMZN,Amazon.com Inc.,2022,2,0.89937106918239,302,16,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-22-045579/full-submission.txt
AMZN,Amazon.com Inc.,2023,4,0.7809694793536804,496,61,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-23-113444/full-submission.txt
AMZN,Amazon.com Inc.,2021,2,1.0,281,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000012/full-submission.txt
AMZN,Amazon.com Inc.,2021,3,1.0,264,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000022/full-submission.txt
AMZN,Amazon.com Inc.,2023,2,0.9021406727828746,311,16,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-23-044715/full-submission.txt
AMZN,Amazon.com Inc.,2023,1,0.9306666666666666,362,13,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-23-003621/full-submission.txt
AMZN,Amazon.com Inc.,2021,2,0.8677248677248677,353,25,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-21-159084/full-submission.txt
AMZN,Amazon.com Inc.,2022,2,0.8861386138613861,381,23,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-22-104336/full-submission.txt
AMZN,Amazon.com Inc.,2024,2,0.803921568627451,322,35,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-24-000081/full-submission.txt
AMZN,Amazon.com Inc.,2023,1,0.8868894601542416,367,22,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-23-000849/full-submission.txt
AMZN,Amazon.com Inc.,2021,2,0.8126721763085399,329,34,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000008/full-submission.txt
AMZN,Amazon.com Inc.,2021,4,1.0,263,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000030/full-submission.txt
AMZN,Amazon.com Inc.,2023,2,0.723404255319149,324,52,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-23-000006/full-submission.txt
AMZN,Amazon.com Inc.,2022,1,0.8166189111747851,317,32,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-22-000002/full-submission.txt
AMZN,Amazon.com Inc.,2023,3,0.7050938337801609,318,55,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-23-000010/full-submission.txt
AMZN,Amazon.com Inc.,2022,2,1.0,263,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-22-000015/full-submission.txt
AMZN,Amazon.com Inc.,2024,3,0.8545454545454545,306,24,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-24-000128/full-submission.txt
AMZN,Amazon.com Inc.,2021,1,1.0,261,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-21-018066/full-submission.txt
AMZN,Amazon.com Inc.,2023,4,0.7250673854447439,320,51,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-23-000016/full-submission.txt
AMZN,Amazon.com Inc.,2021,3,1.0,266,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000016/full-submission.txt
AMZN,Amazon.com Inc.,2021,3,0.8352941176470589,312,28,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000018/full-submission.txt
AMZN,Amazon.com Inc.,2024,1,0.7025641025641025,332,58,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-24-000006/full-submission.txt
AMZN,Amazon.com Inc.,2023,2,1.0,283,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-23-065457/full-submission.txt
AMZN,Amazon.com Inc.,2021,4,0.8208955223880597,305,30,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000026/full-submission.txt
AMZN,Amazon.com Inc.,2022,2,0.9932432432432432,295,1,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-22-065872/full-submission.txt
AMZN,Amazon.com Inc.,2024,2,1.0,260,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-24-061143/full-submission.txt
AMZN,Amazon.com Inc.,2021,1,0.8443804034582133,320,27,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-21-000002/full-submission.txt
AMZN,Amazon.com Inc.,2024,2,0.8483965014577259,317,26,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-24-045915/full-submission.txt
AMZN,Amazon.com Inc.,2024,2,1.0,278,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-24-065117/full-submission.txt
